ticket_id,ticket_text,predicted_category,retrieved_sources,draft_response,chunks_retrieved,latency_classify_s,latency_retrieve_s,latency_generate_s,latency_total_s,cost_classify_usd,cost_generate_usd,cost_total_usd,cost_total_idr,true_sop,true_category,priority,status,correct,error
TKT-2605-0001,Immediate offboarding request,offboarding,SOP-011 | SOP-010 | SOP-008,"Yth. Bapak/Ibu,

Terima kasih atas pengajuan tiket offboarding dengan status **Immediate Offboarding**. Berikut adalah langkah-langkah yang akan kami lakukan sesuai prosedur yang berlaku:

1. Segera melakukan **Disable Account** pada Active Directory Users and Computers (ADUC) tanpa menunggu jam kerja.
2. Melakukan **Block Sign-in** pada portal Microsoft 365 Admin untuk akun terkait.
3. Jika terdapat risiko keamanan tinggi seperti dugaan membawa kabur laptop, kami akan melakukan **Remote Wipe** melalui portal Intune.
4. Menutup seluruh akses VPN dan SAP dalam waktu maksimal 15 menit sesuai SLA.

Proses ini dilakukan untuk memastikan keamanan data perusahaan dan mencegah kebocoran informasi. Jika terdapat perangkat yang perlu dikembalikan atau tindakan tambahan, kami akan koordinasikan lebih lanjut.

Apabila ada pertanyaan atau kebutuhan bantuan lainnya, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-011, SOP-010, SOP-008]",3,9.659,0.589,2.517,12.764,4.56e-05,0.0009132,0.0009588,15.8202,SOP-011,offboarding,High,Resolved,1,
TKT-2605-0002,Locked out of SAP P01,password_reset,SOP-004 | SOP-003 | SOP-005,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI. Menanggapi kendala Bapak/Ibu yang terkunci akses SAP P01, berikut langkah-langkah yang dapat kami lakukan untuk membuka kembali akun SAP Anda:

1. Kami akan membuka aplikasi **SAP Logon** dan masuk ke sistem **P01 (Production)**.
2. Jalankan T-Code: **`SU01`**.
3. Masukkan SAP User ID Anda.
4. Klik ikon **Lock/Unlock** (gambar gembok) untuk melihat status akun.
5. Jika akun terkunci karena terlalu banyak percobaan login yang salah, kami akan klik tombol **Unlock**.
6. Setelah akun terbuka, Anda dapat mencoba login kembali menggunakan password lama Anda.

Apabila Anda juga membutuhkan reset password SAP, kami dapat melakukan reset dengan password awal standar perusahaan yaitu: **`Init123456!`**. Setelah login dengan password tersebut, SAP akan meminta Anda untuk membuat password baru.

Mohon informasikan jika Anda ingin kami lanjutkan dengan reset password atau jika ada pesan error lain yang muncul saat login.

Jika masalah tidak dapat diselesaikan dengan langkah di atas, tiket ini akan kami teruskan ke tim IT Level 2 untuk penanganan lebih lanjut.

Kami siap membantu jika ada pertanyaan atau kendala lainnya.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-004, SOP-003, SOP-005]",3,0.526,0.211,3.524,4.261,4.58e-05,0.0011812,0.001227,20.2455,SOP-004,erp_sap,High,Open,0,
TKT-2605-0003,Convert to shared mailbox,email_issue,SOP-006 | SOP-012 | SOP-010,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI. Untuk permintaan konversi mailbox menjadi shared mailbox, mohon maaf saat ini dalam SOP yang tersedia belum terdapat prosedur khusus terkait konversi mailbox ke shared mailbox.

Oleh karena itu, tiket ini memerlukan penanganan lebih lanjut oleh tim IT Level 2 yang memiliki akses dan wewenang untuk melakukan perubahan konfigurasi mailbox di Exchange Admin Center.

Apabila ada kendala lain atau informasi tambahan yang dapat kami bantu, silakan menghubungi kami kembali.

Terima kasih atas pengertiannya.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-006, SOP-012, SOP-010]",3,0.521,0.204,2.026,2.752,4.56e-05,0.0008268,0.0008724,14.3946,SOP-011,offboarding,Medium,Open,0,
TKT-2605-0004,Account creation for new staff,onboarding,SOP-010 | SOP-011 | SOP-012,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait pembuatan akun untuk karyawan baru. Berikut adalah langkah-langkah yang akan kami lakukan sesuai prosedur onboarding karyawan baru:

1. Kami akan memeriksa di **Active Directory Users and Computers (ADUC)** apakah akun dengan format `Nama.Belakang` sudah terbentuk dan dalam status Disabled.
2. Kami akan memastikan alamat email `nama.belakang@mitsubishi.co.id` sudah aktif di **Exchange**.
3. Selanjutnya, kami akan login ke **Microsoft 365 Admin Center** untuk memastikan lisensi **Microsoft 365 E3** dan paket tambahan sesuai peran sudah terpasang.
4. Kami akan menambahkan pengguna ke *Distribution List* departemen terkait (misalnya `DL-Finance-Team`) serta grup *Security* folder berbagi di File Server.
5. Kami akan melakukan koordinasi dengan tim aset untuk memastikan perangkat laptop sudah siap di meja karyawan baru atau dapat diambil pada hari onboarding bersama HR.
6. Terakhir, kami akan mencetak ""Welcome Letter"" yang berisi panduan login, password sementara, dan panduan pengaturan MFA, lalu menyerahkannya secara aman kepada tim HR satu hari sebelum karyawan bergabung.

Apabila ada hal lain yang perlu kami bantu terkait proses ini, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-010, SOP-011, SOP-012]",3,0.512,0.21,3.53,4.252,4.57e-05,0.0010712,0.0011169,18.4289,SOP-010,onboarding,High,Open,1,
TKT-2605-0005,Locked out of SAP P01,password_reset,SOP-004 | SOP-003 | SOP-005,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait kendala akun SAP P01 yang terkunci. Berikut langkah yang dapat kami lakukan untuk membantu menyelesaikan masalah ini:

1. Kami akan membuka aplikasi **SAP Logon** dan masuk ke sistem P01 (Production).
2. Selanjutnya, kami akan menjalankan T-Code: **SU01**.
3. Masukkan SAP User ID Bapak/Ibu.
4. Klik ikon **Lock/Unlock** (gambar gembok) untuk memeriksa status akun.
5. Jika akun terkunci karena terlalu banyak percobaan login yang salah, kami akan klik tombol **Unlock**.
6. Setelah akun berhasil dibuka, mohon coba login kembali menggunakan password lama Bapak/Ibu.

Apabila Bapak/Ibu ingin melakukan reset password SAP, kami juga dapat membantu dengan prosedur berikut:

1. Jalankan T-Code: **SU01**.
2. Masukkan SAP User ID.
3. Klik ikon **Logon Data / Password** (gambar kunci).
4. Masukkan password awal standar: `Init123456!`.
5. Klik **Save** (gambar disket).
6. Password SAP Bapak/Ibu akan di-reset ke `Init123456!`. Pastikan memasukkan nomor Client yang benar (misal: 100). Saat login, SAP akan meminta Bapak/Ibu membuat password baru.

Mohon informasikan jika Bapak/Ibu ingin kami lakukan unlock akun atau reset password. Jika terdapat kendala lain seperti error otorisasi, kami akan bantu eskalasi sesuai prosedur.

Jika ada pertanyaan atau bantuan lebih lanjut, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-004, SOP-003, SOP-005]",3,0.526,0.204,3.78,4.51,4.58e-05,0.0013012,0.001347,22.2255,SOP-004,erp_sap,High,Open,0,
TKT-2605-0006,Install MS Visio for project,software_request,SOP-009 | SOP-008 | SOP-012,"Yth. Bapak/Ibu,

Terima kasih atas permintaan instalasi **MS Visio** untuk keperluan proyek Anda. Berikut prosedur yang perlu kami jalankan sesuai kebijakan perusahaan:

1. Karena **MS Visio** termasuk software berlisensi, kami perlu melakukan pengecekan ketersediaan lisensi di portal aset perangkat lunak terlebih dahulu.
2. Mohon lampirkan persetujuan dari Manajer Anda serta persetujuan penagihan silang (Cross-Charge) dari Departemen Keuangan jika lisensi baru harus dibeli.
3. Setelah persetujuan lengkap dan lisensi tersedia, tiket akan kami teruskan ke grup **IT_Endpoint_Management** untuk melakukan deployment software secara remote ke perangkat Anda.

Mohon untuk mengirimkan dokumen persetujuan tersebut agar proses dapat segera kami lanjutkan. Apabila ada pertanyaan lebih lanjut, jangan ragu untuk menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-009, SOP-008, SOP-012]",3,0.573,0.197,3.015,3.784,4.58e-05,0.0009072,0.000953,15.7245,SOP-009,software_request,Low,Closed,1,
TKT-2605-0007,AutoCAD installation request,software_request,SOP-009 | SOP-008 | SOP-GENERAL,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait permintaan instalasi AutoCAD. Berikut adalah prosedur yang perlu kami lakukan sesuai kebijakan perusahaan:

1. Karena AutoCAD termasuk software berlisensi, kami perlu melakukan pengecekan ketersediaan lisensi di portal aset perangkat lunak terlebih dahulu.
2. Mohon Bapak/Ibu dapat melampirkan dokumen persetujuan dari Manajer serta persetujuan penagihan silang (Cross-Charge) dari Departemen Keuangan jika lisensi AutoCAD harus dibeli baru.
3. Setelah persetujuan lengkap dan lisensi tersedia, tiket akan kami teruskan ke tim **IT_Endpoint_Management** untuk melakukan deployment software secara remote ke perangkat Bapak/Ibu.

Mohon untuk dapat mengirimkan lampiran approval tersebut agar proses dapat segera kami lanjutkan. Jika ada pertanyaan atau membutuhkan bantuan lebih lanjut, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-009, SOP-008, SOP-GENERAL]",3,0.667,0.207,3.662,4.536,4.56e-05,0.0009,0.0009456,15.6024,SOP-009,software_request,Medium,Closed,1,
TKT-2605-0008,SU53 authorization error ME21N,erp_sap,SOP-005 | SOP-004 | SOP-009,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait kendala otorisasi pada transaksi **ME21N** di SAP dengan error **SU53**.

Berikut langkah yang perlu dilakukan untuk penanganan awal:

1. Mohon untuk tidak menutup layar SAP yang menampilkan error tersebut.
2. Ketik perintah **`//SU53`** pada command field di jendela SAP yang sama, lalu tekan Enter.
3. Setelah muncul layar laporan **Authorization Failure**, mohon untuk mengambil screenshot layar penuh tersebut.
4. Lampirkan screenshot tersebut ke dalam tiket ini sebagai bahan verifikasi.

Selanjutnya, kami akan memeriksa apakah Anda sudah melampirkan persetujuan (approval) dari Manager Anda dan Business Process Owner (BPO) modul terkait (misal BPO Supply Chain) untuk penambahan hak akses transaksi ME21N. Jika persetujuan belum tersedia, kami akan meminta Anda untuk melengkapinya terlebih dahulu.

Setelah persetujuan lengkap, tiket akan kami teruskan ke tim **SAP_Security_Admin** untuk proses penambahan role sesuai prosedur audit trail yang berlaku.

Apabila Anda membutuhkan bantuan lebih lanjut atau ada pertanyaan lain, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-005, SOP-004, SOP-009]",3,0.891,0.317,4.103,5.311,4.63e-05,0.001142,0.0011883,19.607,SOP-005,erp_sap,Medium,In Progress,1,
TKT-2605-0009,Vendor guest access to Teams,out_of_scope,,"Thank you for contacting BSI IT Helpdesk. Your inquiry appears to be outside the scope of IT support services. Please direct your question to the appropriate department (HR, Finance, Facilities, etc.). If you believe this is an IT issue, please resubmit with more details about the technical problem.",0,0.447,0.0,0.0,0.447,4.61e-05,0.0,4.61e-05,0.7607,SOP-012,email_issue,Low,In Progress,0,
TKT-2605-0010,User locked by administrator in SAP,erp_sap,SOP-004 | SOP-005 | SOP-011,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait masalah akun SAP yang di-lock oleh administrator.

Berdasarkan SOP-004, untuk kasus akun SAP yang di-lock secara manual oleh administrator, prosedur penanganan oleh agen Helpdesk Level 1 adalah sebagai berikut:

1. Buka aplikasi **SAP Logon** dan masuk ke sistem Production (misal: P01).
2. Jalankan T-Code: **SU01**.
3. Masukkan SAP User ID pengguna yang terkunci.
4. Klik ikon **Lock/Unlock** (gambar gembok) untuk melihat status akun.
5. Jika akun terkunci karena di-lock manual oleh administrator, lakukan **Unlock** dengan mengklik tombol **Unlock**.
6. Informasikan kepada pengguna untuk mencoba login kembali menggunakan password lama mereka.

Apabila terdapat kendala lain seperti error otorisasi atau akses yang tidak memadai, maka akan diperlukan eskalasi ke tim SAP Basis Level 2 atau SAP Security Admin sesuai SOP-005.

Jika Anda membutuhkan bantuan lebih lanjut atau jika akun tidak dapat dibuka dengan langkah di atas, silakan informasikan kembali agar kami dapat membantu eskalasi ke tim terkait.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-004, SOP-005, SOP-011]",3,0.482,0.202,3.946,4.631,4.62e-05,0.0011248,0.001171,19.3215,SOP-004,erp_sap,Medium,Resolved,1,
